Available Service Bays,Service_Department,Workshop_Code,Technician_Name,Technicians_Available,ClientID,Client_Age,Gender,Service_Type,Vehicle_Condition,Main_Issue,Previous_Visits,Warranty,Repair_Cost,Stay (in Days)
1,Pintura,A,Carlos,11,13538,46-55,Female,Colisión,Moderada,Suspensión,9,Yes,569.91,8
2,Pintura,C,Sofía,1,13539,36-45,Male,Colisión,Menor,,10,Yes,4743.04,6
1,Mecánica,C,Luis,6,13540,36-45,Female,Colisión,Moderada,Frenos,0,Yes,626.37,5
1,Mecánica,C,Sofía,6,13541,36-45,Female,Colisión,Moderada,Suspensión,7,No,6411.81,11
5,Electricidad,C,Ana,5,13542,46-55,Male,Colisión,Menor,Suspensión,9,Yes,10337.18,1
7,Pintura,C,María,6,13543,18-25,Male,Reparación,Moderada,Suspensión,0,No,7288.89,9
2,Mecánica,E,Carlos,2,13544,66+,Male,Diagnóstico,Severa,Transmisión,2,No,859.56,14
2,Diagnóstico,E,Luis,9,13545,18-25,Female,Reparación,Severa,Frenos,5,Yes,5354.43,22
8,Diagnóstico,A,Sofía,6,13546,66+,Female,Diagnóstico,Menor,Eléctrico,10,No,10555.42,5
1,Pintura,B,Sofía,3,13547,18-25,Female,Diagnóstico,Menor,Eléctrico,0,Yes,4442.32,3
2,Electricidad,E,Luis,4,13548,36-45,Female,Diagnóstico,Moderada,Transmisión,5,Yes,3127.85,8
2,Pintura,B,José,12,13549,18-25,Male,Reparación,Moderada,Eléctrico,10,Yes,3371.5,7
5,Electricidad,E,Sofía,2,13550,56-65,Female,Colisión,Severa,Suspensión,1,No,10998.06,9
5,Mecánica,A,José,10,13551,36-45,Female,Colisión,Moderada,Suspensión,4,No,2930.34,6
3,Diagnóstico,E,Sofía,12,13552,56-65,Female,Mantenimiento,Severa,,7,Yes,5819.26,14
8,Electricidad,C,José,7,13553,26-35,Female,Mantenimiento,Severa,Transmisión,3,No,10299.16,16
2,Mecánica,E,María,1,13554,46-55,Male,Diagnóstico,Moderada,Transmisión,7,No,9709.77,9
7,Electricidad,A,Sofía,9,13555,18-25,Male,Reparación,Moderada,Transmisión,2,No,10087.45,5
6,Pintura,A,María,6,13556,56-65,Female,Mantenimiento,Menor,Suspensión,5,No,9061.49,2
6,Mecánica,A,Sofía,5,13557,66+,Female,Reparación,Moderada,,9,No,5896.5,9
5,Diagnóstico,D,María,7,13558,18-25,Female,Mantenimiento,Severa,Transmisión,7,No,11343.99,18
3,Diagnóstico,A,Sofía,1,13559,36-45,Female,Colisión,Menor,Transmisión,9,No,574.01,3
6,Electricidad,C,Ana,5,13560,46-55,Male,Diagnóstico,Severa,Transmisión,4,No,4379.7,17
6,Electricidad,D,Sofía,6,13561,26-35,Male,Colisión,Severa,,4,Yes,188.21,17
1,Diagnóstico,B,Carlos,10,13562,46-55,Male,Diagnóstico,Moderada,,7,Yes,6406.47,9
3,Electricidad,D,José,5,13563,66+,Female,Mantenimiento,Severa,,8,No,10121.72,21
7,Electricidad,A,Ana,6,13564,46-55,Male,Reparación,Menor,Eléctrico,6,No,3280.8,5
5,Pintura,C,Carlos,0,13565,46-55,Female,Mantenimiento,Menor,Eléctrico,5,Yes,5816.66,1
5,Pintura,C,María,1,13566,46-55,Female,Mantenimiento,Moderada,Suspensión,1,No,2437.58,8
7,Diagnóstico,A,Sofía,7,13567,26-35,Female,Reparación,Severa,Transmisión,0,Yes,4750.14,21
6,Electricidad,E,María,8,13568,18-25,Female,Reparación,Menor,Motor,0,No,8088.2,6
2,Pintura,B,Sofía,4,13569,66+,Male,Reparación,Menor,Motor,7,No,2895.63,7
3,Diagnóstico,E,Luis,1,13570,56-65,Male,Mantenimiento,Moderada,,6,No,10905.37,9
2,Mecánica,B,José,4,13571,46-55,Female,Mantenimiento,Severa,Motor,1,Yes,6577.44,13
8,Mecánica,C,María,5,13572,56-65,Female,Mantenimiento,Severa,Frenos,10,Yes,475.81,23
4,Mecánica,C,José,6,13573,46-55,Female,Colisión,Menor,Motor,3,No,9951.04,2
4,Electricidad,C,Sofía,11,13574,36-45,Male,Colisión,Severa,Eléctrico,3,No,8676.15,14
5,Diagnóstico,A,Sofía,3,13575,18-25,Male,Diagnóstico,Menor,Eléctrico,2,Yes,11946.01,2
4,Mecánica,D,Ana,5,13576,18-25,Female,Colisión,Severa,Motor,2,No,5405.64,26
3,Diagnóstico,C,Sofía,12,13577,66+,Male,Diagnóstico,Severa,Motor,6,No,9183.21,24
4,Diagnóstico,E,Carlos,12,13578,26-35,Female,Diagnóstico,Moderada,Motor,8,No,5839.5,5
7,Mecánica,A,Luis,0,13579,46-55,Female,Reparación,Moderada,Suspensión,6,No,3864.93,6
5,Mecánica,C,María,3,13580,18-25,Male,Reparación,Severa,Frenos,4,Yes,3276.89,12
1,Electricidad,A,José,1,13581,26-35,Female,Reparación,Severa,,3,No,816.31,17
7,Diagnóstico,D,José,1,13582,36-45,Female,Reparación,Menor,Transmisión,5,Yes,1085.53,1
6,Pintura,A,Sofía,1,13583,18-25,Male,Colisión,Menor,Suspensión,4,No,4838.65,1
2,Pintura,D,Carlos,11,13584,18-25,Male,Diagnóstico,Menor,Transmisión,9,Yes,1243.46,5
6,Electricidad,A,María,3,13585,18-25,Male,Mantenimiento,Moderada,,7,Yes,5519.76,6
8,Mecánica,A,Carlos,1,13586,66+,Female,Reparación,Menor,Eléctrico,2,Yes,9950.97,4
3,Pintura,C,Carlos,0,13587,46-55,Male,Reparación,Severa,Suspensión,6,No,3348.6,11
7,Electricidad,A,Ana,10,13588,36-45,Male,Colisión,Severa,Motor,5,Yes,10039.29,9
2,Mecánica,E,Sofía,0,13589,18-25,Female,Colisión,Moderada,Frenos,1,No,8994.37,6
2,Diagnóstico,E,Sofía,6,13590,18-25,Male,Diagnóstico,Menor,Eléctrico,9,Yes,9616.23,3
5,Electricidad,D,José,6,13591,46-55,Male,Colisión,Severa,Transmisión,8,No,4605.88,16
8,Diagnóstico,A,Luis,2,13592,26-35,Female,Diagnóstico,Moderada,Transmisión,0,No,7149.36,7
7,Mecánica,D,Luis,4,13593,18-25,Male,Diagnóstico,Moderada,Eléctrico,1,Yes,3706.3,6
2,Electricidad,A,Luis,8,13594,18-25,Male,Diagnóstico,Severa,,5,No,10939.28,20
3,Electricidad,D,Sofía,8,13595,46-55,Female,Mantenimiento,Menor,Transmisión,4,No,1233.19,6
5,Pintura,E,Luis,12,13596,26-35,Female,Diagnóstico,Moderada,,0,Yes,8444.74,4
2,Diagnóstico,A,Ana,7,13597,66+,Female,Reparación,Menor,Eléctrico,8,No,10551.53,7
1,Diagnóstico,B,Luis,1,13598,46-55,Male,Colisión,Moderada,Motor,0,No,11713.83,7
2,Electricidad,A,Carlos,6,13599,56-65,Male,Colisión,Severa,Motor,6,No,6984.86,12
4,Electricidad,D,María,11,13600,18-25,Male,Colisión,Menor,Transmisión,1,No,9433.62,3
1,Mecánica,D,María,0,13601,18-25,Female,Colisión,Moderada,Frenos,8,Yes,214.52,8
8,Diagnóstico,B,José,4,13602,36-45,Female,Diagnóstico,Moderada,Eléctrico,1,No,11063.58,7
1,Electricidad,D,María,2,13603,66+,Male,Reparación,Moderada,Motor,8,Yes,3697.81,6
5,Pintura,A,Sofía,9,13604,26-35,Male,Colisión,Menor,Motor,7,Yes,8982.07,4
8,Pintura,B,María,7,13605,36-45,Male,Mantenimiento,Severa,Motor,10,Yes,4241.72,16
5,Diagnóstico,D,Sofía,12,13606,46-55,Male,Mantenimiento,Severa,Motor,10,Yes,4205.57,26
3,Mecánica,E,Ana,6,13607,18-25,Male,Mantenimiento,Moderada,Motor,5,No,9912.06,5
2,Electricidad,B,Sofía,0,13608,66+,Female,Reparación,Menor,Eléctrico,0,Yes,10833.11,3
6,Mecánica,C,Carlos,6,13609,46-55,Female,Mantenimiento,Moderada,Eléctrico,6,Yes,11793.38,8
6,Electricidad,B,María,0,13610,26-35,Female,Reparación,Moderada,Eléctrico,8,No,2377.89,8
1,Pintura,B,Luis,4,13611,36-45,Male,Mantenimiento,Menor,Eléctrico,9,No,367.34,2
8,Pintura,E,María,1,13612,56-65,Male,Colisión,Moderada,Frenos,0,Yes,7730.7,8
7,Diagnóstico,E,Luis,8,13613,36-45,Male,Reparación,Moderada,Frenos,0,No,5252.55,5
6,Electricidad,A,Sofía,8,13614,56-65,Female,Mantenimiento,Menor,Eléctrico,4,Yes,5723.18,1
1,Diagnóstico,C,María,9,13615,18-25,Female,Reparación,Severa,Frenos,4,No,324.86,13
1,Pintura,D,María,4,13616,36-45,Male,Reparación,Moderada,Frenos,10,Yes,3949.6,10
1,Mecánica,E,José,5,13617,46-55,Female,Colisión,Severa,Eléctrico,3,Yes,6571.98,10
8,Diagnóstico,A,María,2,13618,56-65,Male,Colisión,Menor,Frenos,7,Yes,4232.02,5
3,Mecánica,C,Sofía,2,13619,56-65,Female,Mantenimiento,Menor,Transmisión,5,Yes,1537.24,5
3,Diagnóstico,D,Carlos,1,13620,46-55,Female,Colisión,Moderada,Frenos,5,Yes,2617.93,8
2,Diagnóstico,A,José,0,13621,36-45,Male,Colisión,Severa,Frenos,2,Yes,11618.12,23
8,Diagnóstico,A,Luis,11,13622,36-45,Male,Colisión,Menor,Eléctrico,9,Yes,2712.79,2
8,Electricidad,E,Ana,12,13623,46-55,Female,Diagnóstico,Menor,Motor,8,No,10072.77,4
1,Pintura,C,Ana,3,13624,56-65,Male,Diagnóstico,Menor,Frenos,5,No,2504.53,1
8,Mecánica,B,Luis,1,13625,26-35,Female,Reparación,Menor,Suspensión,4,Yes,1772.31,3
2,Pintura,D,María,9,13626,36-45,Male,Diagnóstico,Moderada,Transmisión,3,No,4296.84,11
4,Mecánica,C,Sofía,5,13627,66+,Female,Colisión,Severa,Eléctrico,8,Yes,4512.69,18
6,Mecánica,C,María,11,13628,26-35,Male,Diagnóstico,Severa,Suspensión,8,No,10547.28,15
4,Mecánica,B,Ana,0,13629,36-45,Male,Reparación,Menor,Motor,3,Yes,1378.19,9
7,Mecánica,B,Luis,0,13630,56-65,Male,Diagnóstico,Severa,Frenos,4,Yes,437.37,22
4,Electricidad,D,María,8,13631,36-45,Female,Mantenimiento,Moderada,Eléctrico,10,Yes,4756.08,4
3,Electricidad,C,María,11,13632,56-65,Female,Diagnóstico,Severa,Motor,6,Yes,4379.54,9
4,Mecánica,E,José,2,13633,26-35,Male,Mantenimiento,Moderada,Suspensión,7,Yes,1256.41,10
3,Diagnóstico,D,María,0,13634,66+,Female,Colisión,Severa,Frenos,8,No,1792.51,19
7,Pintura,D,María,8,13635,66+,Male,Mantenimiento,Menor,Eléctrico,8,No,283.59,3
7,Mecánica,B,María,9,13636,18-25,Female,Reparación,Moderada,Transmisión,2,No,4622.58,10
1,Electricidad,E,Carlos,10,13637,46-55,Male,Reparación,Severa,,4,Yes,8040.04,18
8,Electricidad,A,Ana,1,13638,18-25,Male,Reparación,Severa,Transmisión,8,Yes,7470.95,15
5,Diagnóstico,E,María,8,13639,56-65,Male,Colisión,Moderada,Suspensión,3,Yes,3171.49,7
7,Electricidad,B,María,0,13640,26-35,Male,Reparación,Moderada,Frenos,10,Yes,5154.93,7
7,Diagnóstico,A,Luis,10,13641,56-65,Female,Colisión,Moderada,Motor,10,Yes,6444.77,11
1,Pintura,D,José,2,13642,66+,Female,Reparación,Severa,Eléctrico,1,Yes,5106.48,15
8,Mecánica,C,Carlos,5,13643,36-45,Female,Mantenimiento,Severa,Motor,10,No,2523.4,15
5,Pintura,A,María,10,13644,36-45,Female,Reparación,Menor,Transmisión,7,No,11590.91,4
4,Pintura,A,María,8,13645,26-35,Female,Reparación,Moderada,,0,No,7843.97,6
8,Electricidad,D,Ana,0,13646,56-65,Female,Mantenimiento,Severa,Eléctrico,8,No,8622.54,22
5,Mecánica,A,Luis,7,13647,46-55,Female,Diagnóstico,Moderada,Eléctrico,2,Yes,7258.8,8
8,Diagnóstico,D,Luis,10,13648,26-35,Female,Colisión,Severa,,4,Yes,3267.28,16
7,Electricidad,D,Ana,9,13649,26-35,Male,Diagnóstico,Severa,Motor,2,No,5745.32,14
1,Electricidad,A,Carlos,5,13650,36-45,Male,Reparación,Moderada,Suspensión,2,No,8649.65,4
7,Pintura,B,José,2,13651,26-35,Female,Reparación,Menor,Motor,5,No,5164.99,4
7,Pintura,E,María,6,13652,18-25,Male,Reparación,Severa,Transmisión,6,No,6042.27,19
1,Diagnóstico,B,María,10,13653,18-25,Female,Reparación,Severa,Eléctrico,2,No,2897.0,13
1,Electricidad,A,Carlos,11,13654,18-25,Male,Diagnóstico,Moderada,Eléctrico,4,No,7694.86,10
7,Mecánica,C,José,12,13655,18-25,Male,Mantenimiento,Menor,Frenos,9,Yes,5241.82,7
6,Diagnóstico,C,Luis,11,13656,26-35,Male,Mantenimiento,Moderada,Frenos,7,No,10272.41,6
8,Diagnóstico,B,Carlos,10,13657,36-45,Male,Reparación,Menor,Transmisión,10,No,8285.24,4
1,Electricidad,B,Ana,1,13658,46-55,Female,Colisión,Menor,Eléctrico,9,Yes,693.31,4
1,Electricidad,A,Carlos,7,13659,18-25,Male,Colisión,Moderada,Frenos,10,Yes,4387.56,9
7,Diagnóstico,B,Ana,7,13660,46-55,Female,Reparación,Menor,Transmisión,9,No,9189.02,5
6,Pintura,D,Sofía,10,13661,36-45,Male,Colisión,Moderada,Motor,4,No,10681.86,7
5,Mecánica,A,María,0,13662,26-35,Female,Colisión,Severa,Motor,8,No,4218.84,19
8,Diagnóstico,E,Sofía,2,13663,18-25,Female,Mantenimiento,Severa,,5,No,2089.26,16
3,Pintura,A,Carlos,6,13664,36-45,Male,Mantenimiento,Severa,,3,Yes,7296.68,18
8,Diagnóstico,C,Sofía,12,13665,36-45,Male,Reparación,Moderada,,2,No,4238.85,9
7,Electricidad,C,Sofía,0,13666,36-45,Female,Diagnóstico,Moderada,Motor,4,No,8674.56,6
8,Pintura,E,Ana,10,13667,36-45,Male,Mantenimiento,Severa,Eléctrico,7,Yes,408.13,18
8,Diagnóstico,C,Ana,9,13668,56-65,Male,Reparación,Severa,Frenos,6,No,1703.94,14
3,Electricidad,C,José,5,13669,56-65,Female,Mantenimiento,Menor,Motor,4,Yes,170.91,5
6,Electricidad,E,José,9,13670,18-25,Female,Colisión,Severa,Motor,4,No,10723.02,20
2,Pintura,B,Luis,3,13671,36-45,Female,Mantenimiento,Moderada,,7,Yes,6242.23,6
7,Pintura,A,Sofía,3,13672,56-65,Female,Colisión,Menor,Motor,5,No,6547.53,4
5,Diagnóstico,E,Carlos,11,13673,46-55,Male,Mantenimiento,Severa,Motor,8,Yes,1018.89,15
2,Pintura,D,Luis,10,13674,26-35,Male,Mantenimiento,Menor,Transmisión,4,No,9252.78,1
4,Electricidad,D,Carlos,7,13675,18-25,Female,Mantenimiento,Severa,Eléctrico,0,No,11371.97,12
1,Electricidad,B,María,10,13676,26-35,Male,Diagnóstico,Severa,Eléctrico,2,No,8608.46,16
3,Electricidad,C,María,2,13677,18-25,Female,Mantenimiento,Menor,Transmisión,7,Yes,5852.97,3
4,Electricidad,E,José,7,13678,46-55,Female,Reparación,Severa,,10,Yes,7500.75,20
7,Pintura,D,José,12,13679,18-25,Female,Colisión,Severa,Transmisión,4,Yes,10416.43,22
4,Diagnóstico,D,Sofía,9,13680,26-35,Male,Diagnóstico,Severa,Motor,9,Yes,1342.21,14
2,Diagnóstico,E,Sofía,9,13681,36-45,Male,Diagnóstico,Moderada,Transmisión,7,No,11499.24,9
6,Pintura,B,Ana,1,13682,66+,Female,Reparación,Moderada,Frenos,10,Yes,7747.58,8
6,Electricidad,A,José,6,13683,66+,Male,Diagnóstico,Moderada,Eléctrico,5,Yes,1838.6,5
1,Mecánica,B,María,8,13684,46-55,Female,Colisión,Menor,Suspensión,10,No,818.35,2
6,Mecánica,B,Luis,3,13685,56-65,Male,Diagnóstico,Menor,Motor,1,Yes,4071.23,7
8,Electricidad,E,Ana,2,13686,66+,Female,Reparación,Menor,,7,No,8154.95,3
3,Pintura,D,José,10,13687,56-65,Female,Colisión,Moderada,Motor,1,Yes,9000.3,7
3,Diagnóstico,B,José,7,13688,26-35,Male,Diagnóstico,Moderada,Transmisión,7,Yes,8834.9,7
5,Diagnóstico,E,Luis,12,13689,18-25,Female,Colisión,Moderada,Transmisión,10,No,2233.36,4
4,Diagnóstico,A,José,11,13690,26-35,Female,Diagnóstico,Moderada,,1,No,5488.03,4
7,Diagnóstico,A,Sofía,7,13691,18-25,Female,Mantenimiento,Menor,Suspensión,2,No,1200.78,2
1,Pintura,A,Sofía,8,13692,46-55,Female,Reparación,Menor,Frenos,7,No,7011.77,2
5,Diagnóstico,D,María,1,13693,56-65,Female,Diagnóstico,Moderada,,7,No,9584.98,8
6,Mecánica,C,Ana,4,13694,18-25,Male,Mantenimiento,Menor,Motor,6,No,4204.65,5
5,Electricidad,C,María,10,13695,46-55,Female,Diagnóstico,Moderada,Motor,2,No,5834.38,8
2,Mecánica,C,Carlos,6,13696,56-65,Female,Mantenimiento,Moderada,,2,Yes,3037.4,6
5,Electricidad,B,Carlos,4,13697,66+,Female,Mantenimiento,Severa,Eléctrico,1,No,11416.66,14
4,Electricidad,B,Carlos,5,13698,26-35,Female,Reparación,Moderada,Suspensión,9,Yes,11418.63,11
2,Electricidad,B,José,3,13699,18-25,Female,Mantenimiento,Severa,Transmisión,0,No,1471.9,23
7,Electricidad,A,María,9,13700,18-25,Male,Diagnóstico,Menor,Eléctrico,0,No,6977.73,3
2,Mecánica,D,Sofía,9,13701,66+,Female,Diagnóstico,Moderada,Suspensión,6,Yes,1381.32,6
5,Electricidad,D,Carlos,9,13702,56-65,Female,Mantenimiento,Severa,Suspensión,7,No,7448.27,20
3,Pintura,E,José,3,13703,18-25,Female,Colisión,Menor,,7,No,10216.72,3
3,Diagnóstico,B,María,5,13704,56-65,Female,Diagnóstico,Severa,Suspensión,10,No,11955.36,19
5,Pintura,B,Carlos,12,13705,18-25,Female,Mantenimiento,Moderada,Transmisión,4,No,9800.33,10
6,Mecánica,A,Ana,12,13706,26-35,Female,Diagnóstico,Severa,Motor,10,Yes,927.79,21
7,Electricidad,E,Carlos,4,13707,18-25,Male,Reparación,Moderada,Transmisión,6,No,11267.69,5
2,Pintura,D,Carlos,6,13708,36-45,Male,Colisión,Severa,,10,Yes,8017.34,8
2,Diagnóstico,E,María,10,13709,26-35,Female,Mantenimiento,Menor,Motor,1,Yes,4470.25,2
2,Pintura,D,José,12,13710,18-25,Male,Colisión,Severa,Eléctrico,9,Yes,3750.79,20
5,Diagnóstico,E,Luis,0,13711,36-45,Male,Colisión,Severa,Frenos,9,Yes,7452.29,17
8,Mecánica,A,José,10,13712,26-35,Female,Mantenimiento,Menor,Frenos,9,No,11492.99,5
7,Mecánica,C,Luis,1,13713,46-55,Female,Diagnóstico,Menor,Frenos,1,No,9147.0,11
3,Diagnóstico,B,Carlos,6,13714,46-55,Male,Mantenimiento,Severa,Transmisión,8,No,6719.3,20
1,Diagnóstico,E,Sofía,7,13715,46-55,Female,Diagnóstico,Moderada,Motor,4,Yes,546.76,7
4,Mecánica,C,Carlos,11,13716,56-65,Female,Mantenimiento,Menor,Eléctrico,5,No,2260.17,5
5,Diagnóstico,D,María,4,13717,66+,Male,Colisión,Menor,Suspensión,5,Yes,2296.62,4
2,Mecánica,A,Carlos,2,13718,46-55,Male,Reparación,Moderada,Transmisión,9,Yes,11802.23,5
8,Electricidad,A,José,5,13719,56-65,Female,Reparación,Moderada,Eléctrico,8,Yes,2932.24,10
6,Diagnóstico,C,Ana,11,13720,36-45,Female,Reparación,Severa,Frenos,3,Yes,1538.69,15
6,Electricidad,D,José,4,13721,18-25,Female,Mantenimiento,Moderada,Motor,9,No,11794.65,7
3,Pintura,D,Luis,0,13722,56-65,Male,Diagnóstico,Menor,Motor,1,No,3937.45,3
6,Pintura,B,Ana,4,13723,26-35,Female,Reparación,Menor,Frenos,3,No,9602.52,2
7,Diagnóstico,D,Ana,8,13724,18-25,Female,Reparación,Moderada,Motor,5,Yes,295.94,11
5,Diagnóstico,C,Sofía,8,13725,18-25,Female,Reparación,Severa,Suspensión,4,Yes,5788.89,14
3,Electricidad,B,Luis,11,13726,36-45,Female,Reparación,Severa,Suspensión,3,No,426.08,18
3,Diagnóstico,E,María,11,13727,26-35,Female,Mantenimiento,Moderada,Suspensión,0,No,4321.91,7
3,Electricidad,B,Ana,11,13728,66+,Male,Diagnóstico,Menor,Eléctrico,5,Yes,902.67,8
4,Pintura,D,Sofía,0,13729,26-35,Female,Mantenimiento,Moderada,Transmisión,7,No,11109.75,9
7,Pintura,D,Carlos,3,13730,46-55,Female,Mantenimiento,Moderada,Suspensión,0,No,3090.85,5
2,Pintura,B,Sofía,12,13731,26-35,Female,Colisión,Menor,Eléctrico,5,Yes,9149.68,2
7,Diagnóstico,C,Luis,1,13732,26-35,Female,Diagnóstico,Moderada,Motor,2,Yes,292.49,7
4,Diagnóstico,D,Luis,10,13733,36-45,Male,Diagnóstico,Severa,Frenos,3,Yes,5453.68,16
7,Mecánica,D,José,9,13734,66+,Male,Colisión,Severa,Transmisión,1,Yes,11421.33,20
4,Pintura,E,Ana,1,13735,46-55,Male,Diagnóstico,Severa,Frenos,4,Yes,5894.21,12
8,Mecánica,A,Ana,6,13736,66+,Male,Mantenimiento,Moderada,Transmisión,6,No,7868.39,6
7,Pintura,C,Sofía,0,13737,66+,Female,Colisión,Severa,Frenos,2,Yes,3931.38,21
1,Electricidad,A,José,1,13738,18-25,Male,Diagnóstico,Severa,Frenos,4,Yes,10981.93,17
7,Mecánica,B,María,8,13739,18-25,Female,Colisión,Menor,Transmisión,4,Yes,9656.29,5
3,Mecánica,B,Ana,6,13740,66+,Female,Diagnóstico,Moderada,Eléctrico,3,Yes,9342.95,13
2,Mecánica,C,Ana,8,13741,36-45,Male,Mantenimiento,Menor,Suspensión,7,No,4053.98,6
5,Pintura,A,José,1,13742,56-65,Male,Mantenimiento,Moderada,Suspensión,7,No,5632.44,7
2,Pintura,A,Carlos,2,13743,46-55,Female,Diagnóstico,Severa,Transmisión,6,Yes,2723.86,14
4,Mecánica,B,Carlos,7,13744,56-65,Male,Diagnóstico,Menor,Frenos,4,Yes,8483.52,4
8,Diagnóstico,E,José,8,13745,18-25,Male,Colisión,Menor,Suspensión,2,Yes,5061.88,7
5,Mecánica,D,Luis,2,13746,46-55,Male,Diagnóstico,Menor,Frenos,8,Yes,264.76,3
4,Mecánica,A,Carlos,1,13747,46-55,Male,Colisión,Moderada,Frenos,3,No,10429.18,6
3,Pintura,E,Sofía,0,13748,18-25,Male,Diagnóstico,Menor,Frenos,2,Yes,10229.27,2
2,Diagnóstico,A,Carlos,12,13749,36-45,Female,Diagnóstico,Severa,Frenos,3,No,574.88,25
8,Pintura,D,Ana,0,13750,66+,Female,Colisión,Moderada,Frenos,9,Yes,5291.77,7
6,Pintura,B,Ana,5,13751,18-25,Male,Diagnóstico,Menor,,2,No,1714.75,3
1,Diagnóstico,E,Luis,6,13752,18-25,Female,Reparación,Menor,Frenos,5,Yes,9750.11,2
2,Pintura,B,Sofía,2,13753,18-25,Female,Diagnóstico,Moderada,Motor,0,Yes,3626.98,11
8,Diagnóstico,A,Sofía,3,13754,36-45,Female,Diagnóstico,Menor,Transmisión,3,Yes,6827.06,3
7,Pintura,E,Luis,7,13755,36-45,Male,Reparación,Menor,Suspensión,1,No,10502.08,3
1,Mecánica,E,Luis,1,13756,46-55,Male,Diagnóstico,Menor,Eléctrico,5,Yes,1246.4,3
7,Pintura,A,Luis,6,13757,36-45,Male,Mantenimiento,Moderada,Motor,9,No,9257.18,9
6,Diagnóstico,D,Sofía,4,13758,66+,Male,Mantenimiento,Moderada,Frenos,8,Yes,9188.91,4
1,Pintura,B,Ana,0,13759,18-25,Female,Colisión,Severa,Frenos,9,Yes,4960.72,21
2,Electricidad,C,Carlos,7,13760,36-45,Male,Reparación,Menor,Eléctrico,7,No,7662.87,3
5,Electricidad,A,María,10,13761,26-35,Male,Colisión,Menor,Motor,9,No,4247.45,4
8,Pintura,A,Ana,0,13762,36-45,Female,Mantenimiento,Severa,Frenos,3,No,9428.49,11
4,Diagnóstico,D,María,12,13763,36-45,Male,Colisión,Moderada,Transmisión,2,No,1512.72,14
8,Diagnóstico,C,Ana,1,13764,36-45,Female,Colisión,Severa,Transmisión,0,Yes,739.43,14
1,Electricidad,E,Luis,4,13765,46-55,Male,Colisión,Severa,Eléctrico,4,Yes,9765.69,14
3,Diagnóstico,B,María,10,13766,18-25,Male,Mantenimiento,Severa,Suspensión,8,Yes,3243.69,22
2,Diagnóstico,D,Sofía,4,13767,46-55,Male,Reparación,Menor,Motor,6,Yes,5360.33,4
8,Mecánica,D,Carlos,2,13768,26-35,Female,Reparación,Menor,Transmisión,5,Yes,7979.79,2
4,Diagnóstico,A,María,6,13769,26-35,Male,Mantenimiento,Menor,Suspensión,5,No,11124.35,1
6,Diagnóstico,A,Carlos,6,13770,26-35,Female,Mantenimiento,Moderada,Transmisión,8,No,6720.44,11
2,Electricidad,B,José,3,13771,26-35,Female,Mantenimiento,Severa,Frenos,8,Yes,9646.03,19
6,Electricidad,A,Ana,12,13772,18-25,Female,Colisión,Moderada,Eléctrico,4,No,10065.11,12
7,Diagnóstico,D,José,5,13773,46-55,Male,Colisión,Moderada,Frenos,8,No,11072.08,7
2,Diagnóstico,B,José,9,13774,56-65,Male,Colisión,Menor,Eléctrico,0,Yes,6248.5,5
1,Pintura,E,Luis,10,13775,36-45,Male,Colisión,Menor,Motor,8,Yes,3969.66,3
3,Mecánica,B,Ana,10,13776,66+,Female,Colisión,Moderada,Suspensión,1,Yes,10354.03,10
1,Diagnóstico,B,José,3,13777,56-65,Male,Colisión,Severa,Motor,0,No,5944.49,23
4,Mecánica,B,José,8,13778,36-45,Male,Mantenimiento,Menor,,6,No,5647.43,2
3,Mecánica,E,Sofía,1,13779,66+,Male,Colisión,Moderada,Frenos,7,Yes,7006.88,8
6,Electricidad,C,Luis,5,13780,66+,Female,Mantenimiento,Menor,Eléctrico,9,Yes,10692.08,3
8,Electricidad,D,Ana,8,13781,66+,Female,Reparación,Menor,Frenos,10,No,8979.56,2
7,Electricidad,D,José,5,13782,56-65,Female,Reparación,Moderada,Suspensión,6,Yes,8881.81,6
3,Electricidad,B,Ana,4,13783,26-35,Female,Mantenimiento,Menor,Motor,10,Yes,6916.06,5
6,Electricidad,D,Luis,10,13784,18-25,Female,Mantenimiento,Menor,,3,No,2415.64,8
7,Pintura,B,José,12,13785,56-65,Female,Diagnóstico,Moderada,,8,Yes,7745.15,11
7,Mecánica,C,Sofía,10,13786,18-25,Male,Diagnóstico,Severa,Frenos,2,No,2355.11,15
7,Pintura,D,Luis,11,13787,66+,Male,Diagnóstico,Menor,Motor,8,Yes,948.48,8
5,Pintura,C,Carlos,3,13788,36-45,Female,Mantenimiento,Menor,Eléctrico,8,Yes,5056.54,1
2,Diagnóstico,D,María,2,13789,18-25,Female,Reparación,Menor,Transmisión,7,No,10647.04,2
6,Diagnóstico,A,Luis,5,13790,36-45,Female,Colisión,Menor,Eléctrico,3,Yes,7875.1,3
6,Pintura,D,María,3,13791,46-55,Male,Mantenimiento,Moderada,Suspensión,10,No,2799.58,6
1,Mecánica,C,José,10,13792,36-45,Female,Mantenimiento,Menor,Eléctrico,5,No,265.82,5
1,Diagnóstico,A,José,10,13793,56-65,Male,Reparación,Severa,Transmisión,4,No,9706.18,18
3,Electricidad,A,María,3,13794,36-45,Female,Mantenimiento,Menor,Suspensión,7,Yes,9204.6,5
4,Mecánica,C,José,3,13795,66+,Male,Mantenimiento,Moderada,Motor,7,Yes,9192.9,11
4,Mecánica,C,Luis,0,13796,66+,Male,Mantenimiento,Severa,,8,Yes,3434.63,12
